Average relative humidity(%),Average Temperature,Average wind speed (Km/h),PM2.5
42,1.7,8,33.5
54,1.3,5.6,104.54
76,1.1,5,259.08
67,2,6.3,273.17
35,-0.5,15.6,33.92
48,-0.7,6.1,102.75
62,2.1,7,144.58
36,2.6,20,89.75
42,-0.7,7.8,24.83
46,-1.7,5,50.71
65,0.6,6.1,215.38
58,1.9,8.5,217.96
29,-0.2,13.3,39.08
36,-1.9,7.4,28.71
36,-1.3,15.6,31.52
50,-0.8,5.4,124.25
68,-1.1,4.3,234.67
64,-0.8,5.6,184.29
68,-0.3,4.6,229
94,-2.1,5.6,364.79
73,0.8,6.5,381.67
35,0.4,18.3,76.63
45,-2.3,6.7,32.71
67,-3.1,4.4,139
68,-0.6,5.9,158.75
30,-1.6,10,55.67
46,-1.6,9.3,40.83
32,-2.2,19.3,70.67
44,-3.9,6.7,70.21
68,-5,3.9,268.42